,theta_2,theta_3,R3,theta_4,R4,R5,h3,f3,h4,f4,f5,h3p,f3p,h4p,f4p,f5p,T,F12,F14,F23,F34,F45
334,3.3399999999999728,44.0079457349493,-1.9614045271489702,44.0079457349493,-2.1997483109587668,228.20967491465527,0.005144401193795954,-0.025587356171603525,-0.0,-0.0,-0.0,0.025583904455065684,0.005140949477258111,-0.0,-0.0,-0.0,347.1401658874401,85.13270444805939,57.190913526285634,172.56917171092837,-54.985800263184075,98.10000000000001
335,3.3499999999999726,44.00799856247619,-1.9573655796262506,44.00799856247619,-2.195218563082602,228.21420615288704,0.005421737234768941,-0.0256373581118531,-0.0,-0.0,-0.0,0.02563369759376961,0.005418076716685445,-0.0,-0.0,-0.0,346.61879323326184,84.98709698750798,57.19493864437862,172.30848538383924,-54.988142361944256,98.10000000000001
336,3.3599999999999723,44.00805417704101,-1.953131029866224,44.00805417704101,-2.1904694439930132,228.21895684095364,0.005701862698882696,-0.025690116092592728,-0.0,-0.0,-0.0,0.025686241194437416,0.005697987800727384,-0.0,-0.0,-0.0,346.04709232605364,84.8273835318489,57.199136458927406,172.02263493023517,-54.99067164600201,98.10000000000001
337,3.369999999999972,44.00811260733877,-1.9487013020701596,44.00811260733877,-2.18550142943889,228.22392650391456,0.00598493893793347,-0.02574565713242569,-0.0,-0.0,-0.0,0.025741561896485934,0.005980843701993715,-0.0,-0.0,-0.0,345.4251738436267,84.65357764189156,57.20350910386069,171.71167568902166,-54.9933902929524,98.10000000000001
338,3.379999999999972,44.008173883696756,-1.9440768400025177,44.008173883696756,-2.18031501710957,228.22911464493455,0.006271131152368617,-0.025804009839665184,-0.0,-0.0,-0.0,0.02579968791114689,0.006266809223850321,-0.0,-0.0,-0.0,344.75315892256685,84.46569415691724,57.20805882166323,171.37566822849175,-54.996300610105536,98.10000000000001
339,3.3899999999999717,44.00823803811428,-1.939258106947483,44.00823803811428,-2.1749107265860945,228.23452074533387,0.006560608638313139,-0.0258652044494016,-0.0,-0.0,-0.0,0.025860649057136663,0.006556053246048205,-0.0,-0.0,-0.0,344.03117925862773,84.26374918942543,57.212787966439535,171.01467839652219,-54.99940503827812,98.10000000000001
340,3.3999999999999715,44.008305104304874,-1.9342455856636025,44.008305104304874,-2.169289099290328,228.24014426463998,0.0068535450448871955,-0.02592927286297728,-0.0,-0.0,-0.0,0.025924476798638612,0.0068487489805485234,-0.0,-0.0,-0.0,343.25937721730776,84.04776011954202,57.21769900715465,170.6287773758622,-55.00270615582889,98.10000000000001
341,3.4099999999999713,44.00837511774116,-1.9290397783365396,44.00837511774116,-2.1634506984319755,228.2459846406421,0.007150118642574001,-0.025996248689988885,-0.0,-0.0,-0.0,0.025991204285709293,0.007145074238294412,-0.0,-0.0,-0.0,342.4379059550292,83.81774558907757,57.22279453106251,170.2180417447229,-55.00620668295104,98.10000000000001
342,3.419999999999971,44.008448115702436,-1.923641206529952,44.008448115702436,-2.1573961089534897,228.25204128944733,0.007450512603423113,-0.026066167292865844,-0.0,-0.0,-0.0,0.026060866397148084,0.007445211707705343,-0.0,-0.0,-0.0,341.56692955138686,83.57372549522636,57.22807724732595,169.78255354290175,-55.00990948623452,98.10000000000001
343,3.429999999999971,44.00852413732515,-1.9180504111344987,44.00852413732515,-2.151125937472882,228.25831360553948,0.007754915293954845,-0.026139065834201804,-0.0,-0.0,-0.0,0.02613349978599641,0.007749349245749449,-0.0,-0.0,-0.0,340.64662315295317,83.31572098389053,57.23354999084228,169.3224003436849,-55.01381758351217,98.10000000000001
344,3.4399999999999706,44.00860322365632,-1.9122679523149875,44.00860322365632,-2.1446408122244467,228.26480096183977,0.008063520581662537,-0.026214983326929914,-0.0,-0.0,-0.0,0.02620914292774683,0.008057680182479453,-0.0,-0.0,-0.0,339.6771731292207,83.04375444262143,57.23921572628319,168.83767533181867,-55.017934149005654,98.10000000000001
345,3.4499999999999704,44.00868541771016,-1.906294409455664,44.00868541771016,-2.1379413829974037,228.27150270976972,0.00837652815605603,-0.02629396068741213,-0.0,-0.0,-0.0,0.02628783617131959,0.008370403639963483,-0.0,-0.0,-0.0,338.6587772412779,82.75784949316372,57.24507755235412,168.3284773878473,-55.02226251878673,98.10000000000001
346,3.45999999999997,44.008770764527924,-1.9001303811036616,44.008770764527924,-2.131028321072473,228.27841817931625,0.008694143865324615,-0.02637604079175353,-0.0,-0.0,-0.0,0.02636962179310452,0.008687724866675597,-0.0,-0.0,-0.0,337.59164482384904,82.45803098358232,57.251138706298065,167.79491117913287,-55.026806196572245,98.10000000000001
